FID,id,toilet_lokalitet,vejnavn,hus_nr,post_nr,adresse,toilet_betegnelse,handicapadgang,helaarsaabent,aftenlaasning,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,doegnaabent,bemaerkning,utm_x,utm_y,longitude,latitude,data_opdatering,status,wkb_geometry
toilet_tmf_kk.41,191,Fælledparken ved kiosk,Per Henrik Lings Allé,5,2100,"Per Henrik Lings Allé 5, 2100 København Ø",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,724345.04917843,6178824.22960328,12.570661,55.703188,3.kvartal 2019,aktiv,MULTIPOINT ((12.570661348701876 55.703188304177466))
toilet_tmf_kk.42,192,"Fælledparken, Seridsslevvej syd",Serridslevvej,15,2100,"Serridslevvej 15, 2100 København Ø",Toilet,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,724464.92239698,6179138.82094994,12.572823,55.705954,3.kvartal 2019,aktiv,MULTIPOINT ((12.572822798377928 55.70595409633797))
toilet_tmf_kk.43,193,"Fælledparken, Seridsslevvej nord ",Serridslevvej,35,2100,"Serridslevvej 35, 2100 København Ø",Toilet med handicapadgang,Ja,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,724361.4434409,6179228.45142119,12.571253,55.706806,3.kvartal 2019,aktiv,MULTIPOINT ((12.571252707297713 55.706805753379776))
toilet_tmf_kk.44,194,"Fælledparken,  Bikuben ",Edel Sauntes Allé,1,2100,"Edel Sauntes Allé 1, 2100 København Ø",Toilet,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,723847.9139605,6178328.56017735,12.562361,55.698973,3.kvartal 2019,aktiv,MULTIPOINT ((12.562361301136582 55.69897271221136))
toilet_tmf_kk.45,195,"Fælledparken, Det røde toilet",Edel Sauntes Allé,18,2100,"Edel Sauntes Allé 18, 2100 København Ø",Toilet med handicapadgang,Ja,Ja (handicaptoilettet og  pissoir er helårsåbent),Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbent fra 1. april til 30. september,724028.06434895,6178531.15870557,12.565388,55.700706,3.kvartal 2019,aktiv,MULTIPOINT ((12.565387625129679 55.70070649191298))
toilet_tmf_kk.46,196,"Østre Anlæg, nær legeplads",Stockholmsgade,26,2100,"Stockholmsgade 26, 2100 København Ø",Toilet,Nej,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,724948.58457428,6177453.07553015,12.579121,55.690613,3.kvartal 2019,aktiv,MULTIPOINT ((12.579121048745948 55.69061261184831))
toilet_tmf_kk.47,197,"Fælledparken, dansepladsen",Edel Sauntes Allé,25,2100,"Edel Sauntes Allé 25, 2100 København Ø",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,724008.34970837,6178983.5440674,12.565444,55.704773,3.kvartal 2019,aktiv,MULTIPOINT ((12.565444350472475 55.704772574689855))
toilet_tmf_kk.48,198,Sølvtorvet,Stockholmsgade,2,2100,"Stockholmsgade 2, 2100 København Ø",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,724726.42809035,6177308.35411928,12.575475,55.689418,3.kvartal 2019,aktiv,MULTIPOINT ((12.57547548987727 55.689417646680425))
toilet_tmf_kk.49,199,"Fælledparken, Trafiklegepladsen",Gunnar Nu Hansens Plads ,10,2100,"Gunnar Nu Hansens Plads  10, 2100 København Ø",Toilet med handicapadgang,Ja,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,724350.25144677,6179011.65599102,12.570897,55.704867,3.kvartal 2019,aktiv,MULTIPOINT ((12.570897424396312 55.70486672458651))
toilet_tmf_kk.50,200,Svanemølle Strandpark,Standpromenaden ,30,2100,"Standpromenaden  30, 2100 København Ø",Toilet med handicapadgang,Ja,Ja (handicaptoilettet er helårsåbent),Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Handicaptoilettet er åben hele året. De andre toiletter er åbne fra 1. april til 30. september,725027.66399017,6180682.75021759,12.583029,55.719539,3.kvartal 2019,aktiv,MULTIPOINT ((12.583028990506882 55.71953909155203))
